direction,message_type,emoji_shortcode,count,percentage,is_excluded_artifact,category,unicode_display
direct,Direct messages,:+1:,23,14.37,False,approval / agreement,👍
direct,Direct messages,:sweat_smile:,13,8.12,False,humor / softening,😅
direct,Direct messages,:blush:,12,7.5,False,positive affect / friendliness,😊
direct,Direct messages,:relaxed:,9,5.62,False,positive affect / friendliness,☺️
direct,Direct messages,:wink:,7,4.38,False,positive affect / friendliness,😉
direct,Direct messages,:slightly_smiling_face:,7,4.38,False,positive affect / friendliness,🙂
direct,Direct messages,:joy:,5,3.12,False,humor / softening,😂
direct,Direct messages,:face_with_rolling_eyes:,4,2.5,False,skepticism / mild negativity,🙄
direct,Direct messages,:innocent:,4,2.5,False,positive affect / friendliness,😇
direct,Direct messages,:grinning:,3,1.88,False,positive affect / friendliness,😀
direct,Direct messages,:unamused:,3,1.88,False,skepticism / mild negativity,😒
direct,Direct messages,:thinking_face:,3,1.88,False,concern / uncertainty,🤔
direct,Direct messages,:see_no_evil:,3,1.88,False,humor / softening,🙈
direct,Direct messages,:woman_shrugging:,3,1.88,False,concern / uncertainty,🤷‍♀️
direct,Direct messages,:roll_eyes:,3,1.88,False,skepticism / mild negativity,🙄
direct,Direct messages,:sun_with_face:,3,1.88,False,positive affect / friendliness,🌞
direct,Direct messages,:nerd_face:,2,1.25,False,humor / softening,🤓
direct,Direct messages,:no_mouth:,2,1.25,False,skepticism / mild negativity,😶
direct,Direct messages,:stuck_out_tongue:,2,1.25,False,humor / softening,😛
direct,Direct messages,:upside_down_face:,2,1.25,False,skepticism / mild negativity,🙃
direct,Direct messages,:smile:,2,1.25,False,positive affect / friendliness,😄
direct,Direct messages,:woman-shrugging:,2,1.25,False,concern / uncertainty,🤷‍♀️
direct,Direct messages,:face_with_hand_over_mouth:,2,1.25,False,humor / softening,🤭
direct,Direct messages,:muscle:,2,1.25,False,approval / agreement,💪
direct,Direct messages,:grin:,2,1.25,False,positive affect / friendliness,😁
direct,Direct messages,:v:,2,1.25,False,approval / agreement,✌️
direct,Direct messages,:innen:,1,0.62,True,excluded non-emoji artefact,
direct,Direct messages,:thinking:,1,0.62,False,concern / uncertainty,🤔
direct,Direct messages,:worried:,1,0.62,False,concern / uncertainty,😟
direct,Direct messages,:cake:,1,0.62,False,celebration / seasonal,🎂
