id,conversation_id,reply_to,speaker,timestamp,text,sender position,weekday,Channel Name,Channel Type,Team Name,Anonymized,Format,text_original,text_clean_lexical,direction,text_clean_lexical_v2
D_SYN_001_U001,D_SYN_001,,Person_D01,1641197700,"Guten Morgen KolName, hast du heute kurz Zeit für eine Rückmeldung?",1,0,D_SYN_001,direct,synthetic_direct,True,synthetic,"Guten Morgen KolName, hast du heute kurz Zeit für eine Rückmeldung?",Guten Morgen KolName hast du heute kurz Zeit für eine Rückmeldung QuestionMark,direct,Guten Morgen KolName hast du heute kurz Zeit für eine Rückmeldung QuestionMark
D_SYN_001_U002,D_SYN_001,D_SYN_001_U001,Person_D02,1641197880,"Ja, gerne. Ich melde mich nach der Besprechung.",2,0,D_SYN_001,direct,synthetic_direct,True,synthetic,"Ja, gerne. Ich melde mich nach der Besprechung.",Ja gerne Ich melde mich nach der Besprechung,direct,Ja gerne ich melde mich nach der Besprechung
D_SYN_001_U003,D_SYN_001,D_SYN_001_U002,Person_D01,1641204300,Danke! Es geht um PatName und die Planung für morgen.,1,0,D_SYN_001,direct,synthetic_direct,True,synthetic,Danke! Es geht um PatName und die Planung für morgen.,Danke Es geht um PatName und die Planung für morgen,direct,Danke Es geht um PatName und die Planung für morgen
D_SYN_002_U001,D_SYN_002,,Person_D03,1641287400,Ist Raum 3 von 10 bis 11 Uhr frei?,1,1,D_SYN_002,direct,synthetic_direct,True,synthetic,Ist Raum 3 von 10 bis 11 Uhr frei?,Ist Raum 3 von 10 bis 11 Uhr frei QuestionMark,direct,Ist Raum 3 von 10 bis 11 Uhr frei QuestionMark
D_SYN_002_U002,D_SYN_002,D_SYN_002_U001,Person_D04,1641287640,"Raum 3 ist belegt, aber Raum 5 wäre verfügbar.",2,1,D_SYN_002,direct,synthetic_direct,True,synthetic,"Raum 3 ist belegt, aber Raum 5 wäre verfügbar.",Raum 3 ist belegt aber Raum 5 wäre verfügbar,direct,Raum 3 ist belegt aber Raum 5 wäre verfügbar
D_SYN_002_U003,D_SYN_002,D_SYN_002_U002,Person_D03,1641287760,"Super, vielen Dank 🙂",1,1,D_SYN_002,direct,synthetic_direct,True,synthetic,"Super, vielen Dank 🙂",Super vielen Dank 🙂,direct,Super vielen Dank 🙂
D_SYN_003_U001,D_SYN_003,,Person_D05,1641382200,"Kannst du bitte prüfen, ob die ÖGD für PatName schon terminiert ist?",1,2,D_SYN_003,direct,synthetic_direct,True,synthetic,"Kannst du bitte prüfen, ob die ÖGD für PatName schon terminiert ist?",Kannst du bitte prüfen ob die ÖGD für PatName schon terminiert ist QuestionMark,direct,Kannst du bitte prüfen ob die ÖGD für PatName schon terminiert ist QuestionMark
D_SYN_003_U002,D_SYN_003,D_SYN_003_U001,Person_D06,1641382920,Die ÖGD ist für morgen eingetragen.,2,2,D_SYN_003,direct,synthetic_direct,True,synthetic,Die ÖGD ist für morgen eingetragen.,Die ÖGD ist für morgen eingetragen,direct,Die ÖGD ist für morgen eingetragen
D_SYN_003_U003,D_SYN_003,D_SYN_003_U002,Person_D05,1641383100,Danke für die schnelle Rückmeldung.,1,2,D_SYN_003,direct,synthetic_direct,True,synthetic,Danke für die schnelle Rückmeldung.,Danke für die schnelle Rückmeldung,direct,Danke für die schnelle Rückmeldung
D_SYN_004_U001,D_SYN_004,,Person_D07,1641560700,Gibt es für Hashtag_PatName noch ein Todo für das WE?,1,4,D_SYN_004,direct,synthetic_direct,True,synthetic,Gibt es für Hashtag_PatName noch ein Todo für das WE?,Gibt es für Hashtag_PatName noch ein Todo für das WE QuestionMark,direct,Gibt es für Hashtag_PatName noch ein Todo für das WE QuestionMark
D_SYN_004_U002,D_SYN_004,D_SYN_004_U001,Person_D08,1641561120,"Nein, aktuell kein aktives Todo.",2,4,D_SYN_004,direct,synthetic_direct,True,synthetic,"Nein, aktuell kein aktives Todo.",Nein aktuell kein aktives Todo,direct,Nein aktuell kein_Todo
D_SYN_004_U003,D_SYN_004,D_SYN_004_U002,Person_D07,1641561240,"Alles klar, danke 👍",1,4,D_SYN_004,direct,synthetic_direct,True,synthetic,"Alles klar, danke 👍",Alles klar danke 👍,direct,Alles klar danke 👍
D_SYN_005_U001,D_SYN_005,,Person_D09,1641478800,"Hallo Mention_KolName, kannst du die KT Gruppe morgen übernehmen?",1,3,D_SYN_005,direct,synthetic_direct,True,synthetic,"Hallo Mention_KolName, kannst du die KT Gruppe morgen übernehmen?",Hallo Mention_KolName kannst du die KT Gruppe morgen übernehmen QuestionMark,direct,Hallo Mention_KolName kannst du die KT_Gruppe morgen übernehmen QuestionMark
D_SYN_005_U002,D_SYN_005,D_SYN_005_U001,Person_D10,1641479040,"Ja, ich übernehme die KT Gruppe gerne.",2,3,D_SYN_005,direct,synthetic_direct,True,synthetic,"Ja, ich übernehme die KT Gruppe gerne.",Ja ich übernehme die KT Gruppe gerne,direct,Ja ich übernehme die KT_Gruppe gerne
